"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,3,0,0,0,252,1268706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,271598,0,0,0,0,0,0,0,0,0,0,40517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4262,0,0,0,0,0,0,0,0,0,0,0,0,252488,0,0,0,0,288,0,201399,0,0,0,0,0,0,0,0,382677,0,0,0,0,0,0,43574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407008,483,0,0,0,0,0,0,0,2882646,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28843,0,0,0,0,130301366,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14061,0,3031430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165597,0,289,0,0,0,0,0,0,0,0,0,0,5279097,0,0,0,0,0,0,21974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138847897,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,0,0,0,0,0,0,0,0,11084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20369,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53989,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,50187,16450,1592,0,28,0,0,0,1397,130442,0,2507,0,7097,0,0,0,0,109,0,0,0,0,0,0,0,0,1818,711055,28949,0,0,293,0,22398,4473,0,2586,0,21752,0,161030,16170,0,0,0,5754,0,43558,0,0,104083,29478,0,0,73682,0,0,0,0,7067,0,264875,7997,9305,0,23132,36149,0,34650,6689,0,89606,29667,0,0,0,13889,0,0,0,0,0,0,1115,175244,0,0,0,0,0,0,0,0,0,15872,0,0,103375,1772,0,0,0,2621,0,73170,225062,0,0,0,0,330128,1439,0,0,32031,12166,0,1038970,32817,0,91545,0,0,25350,798461,67053,661,0,0,0,0,0,33835,0,76264,0,386623,0,0,0,0,95451,0,918235,77803,0,24985,0,67859,0,22301,27876,6982931,13733,23238,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,192978,6737578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331058379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25169050,0,0,0,0,0,0,2091145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16436,0,161652,0,0,0,0,0,0,331883,135012,0,0,0,0,0,0,0,0,0,0,0,68139,0,0,0,0,0,0,88924247,396259,195787,0,0,0,0,0,320,0,0,0,62921434,0,0,0,0,0,0,554244,0,0,0,0,18,0,0,102122,580450035,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897619,13036,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,75509,0,0,0,1202,0,0,0,110427,0,0,0,0,30,2512,0,0,0,0,25423,1871,0,0,0,25214,11211,522,0,0,0,78442,0,0,86,0,0,0,0,234,0,0,0,240,0,5703,0,0,285406,270,0,0,0,0,0,0,0,0,0,551,34395,0,13,0,13810,0,16172,0,0,56318,0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,6776,452,0,0,0,0,61955,0,0,356931,0,10,0,0,30366,0,64,24510,0,0,295,0,0,4042,0,438,0,0,0,19229,0,0,0,0,0,17728,0,127171,3353,0,0,0,0,2445,26604,0,487,0,0,0,0,994,0,3,0,1116512,2321,0,142209,0,227462,0,0,0,3747933,11998,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,54158,0,0,0,4,42005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36379,0,0,0,0,0,0,0,0,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,219761,0,0,148967,0,0,0,0,0,0,0,0,0,0,0,4218,0,0,0,42165,0,0,32579,0,36056,8951,0,0,0,0,0,0,131,0,0,0,0,4548,0,0,0,0,0,0,0,0,15114,0,0,0,12670,0,10979,0,0,1068,0,24910,0,0,0,0,34835,0,0,0,0,0,9201,0,128457,0,0,22458,0,0,0,0,89,13806,0,0,0,0,0,0,0,1395,0,0,0,0,0,0,0,0,120413,1171,0,140801,0,212887,0,0,0,1405310,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,17836,0,11554,0,0,0,2615,30221,0,0,5407,0,0,0,0,0,508333,0,0,0,0,0,203167,0,0,22822,60295,9328,0,0,0,0,0,0,0,0,0,1004,0,0,251628,0,0,0,176,0,57276,0,0,696407,0,0,0,0,0,0,0,0,0,0,6538,582256,0,0,0,4062,0,2656719,294,0,18627,58201,0,0,0,0,0,0,12738,0,0,0,0,471886,0,0,0,0,474935,0,0,0,0,0,0,0,5832,0,0,0,0,10044,0,8799,0,0,0,0,32685,100572,0,0,411,0,0,0,169981,0,0,0,0,0,299370,28013,2502,72,0,0,0,0,3104230,0,0,0,0,499,0,0,0,0,51967,0,1193930,0,0,75241,0,1502021,0,0,5615,13179741,368,673,264
