"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,10328850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58959,0,0,0,0,0,0,0,0,0,0,101476,0,0,0,0,0,0,0,0,0,0,1484344,0,0,0,0,0,0,0,0,0,0,20849,0,0,0,0,0,0,0,0,0,0,18234,0,3451425,0,0,0,0,0,0,0,376174,0,0,0,78,14866,0,0,585250,0,0,0,5566,0,0,0,0,0,0,0,0,2112,0,0,0,0,0,0,0,460811,0,0,0,0,0,0,0,0,1813832,0,0,0,0,0,0,0,525847,20015301,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9341,0,0,0,0,62998097,0,7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6412,0,0,4799,0,0,0,0,0,0,0,0,0,0,4522544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5451,0,0,0,0,0,0,0,0,0,0,0,0,433551,0,0,0,0,31628,0,10104,0,0,0,0,0,2084759,0,0,0,0,0,510,1856,185,0,6421,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,70575276,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,0,0,0,0,0,0,0,0,95199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95199,0,0,0
28233,"Remelting scrap ingots of iron or steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,5994,0,4440,0,0,323,0,0,6790,230294,0,0,0,0,0,0,0,0,4086,0,0,0,0,0,169,0,0,4448,360398,28506,6974,20093,5332,0,48700,36945,0,0,0,0,0,5366,149280,0,0,0,58002,0,196,0,0,202746,101668,6090,0,0,0,0,41021,0,0,0,95774,34821,0,0,2926,4101,3610,4021,24684,0,253199,93142,4520,0,0,71361,0,0,0,0,5998,0,31053,0,0,0,3302,6766,0,0,0,0,731,0,0,165957,0,20548,0,0,0,0,86747,249549,0,0,1825,151,377164,0,0,7823,36416,0,0,228839,0,0,39951,0,0,7394,18585,5464,12271,0,729,0,0,0,131318,0,77961,0,57929,0,2471,21294,1983,16359,0,749128,7318,534,8051,0,12721,0,0,29694,4393838,536,9955,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,85880,1544555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677747,0,0,0,0,0,0,7897063,0,0,51694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55181,0,0,0,0,143,0,0,2398036,0,0,0,0,0,0,0,0,0,0,0,34428831,0,0,0,0,0,0,117811158,0,136221,0,0,0,0,0,0,0,0,0,105164122,0,0,0,0,0,0,21843479,0,0,0,0,407,0,0,0,313684741,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4179,0,0,0,0,10708,0,0,481820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921052,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,10645,0,0,0,535,0,0,0,232,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,370856,0,0,0,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4444,0,9083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,0,0,0,11992,0,0,1079117,0,0,0,0,55815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24707,0,19719,0,0,36684,0,10923,0,0,0,2153909,86,12418,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,0,0,0,0,5460,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58835,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,815,0,0,0,0,0,0,0,0,0,0,2408,41446,0,0,12331,20,0,0,3871,0,33774,10843,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11559,0,204,0,0,21443,38,0,0,0,0,0,0,0,0,0,0,34405,0,0,55654,0,0,3821,0,0,0,0,396280,3685,0,15392,0,0,0,0,0,0,0,62,0,0,0,0,0,0,87466,0,0,43402,0,394241,0,0,0,1350398,9856,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,4947,0,0,0,253,74778,0,0,8175,0,0,0,0,0,173783,0,11755,0,0,0,182,0,0,0,250067,13892,0,0,0,0,0,0,0,0,0,45981,0,0,332518,0,0,0,79,0,57298,0,0,740542,0,0,0,0,0,0,0,0,0,0,112012,901868,0,0,4402,0,0,3775680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329426,0,0,0,0,430265,0,0,0,0,0,0,0,17639,0,150,0,0,48038,0,0,1051,0,0,0,11001,125573,47622,0,0,0,0,0,199032,0,0,3504,0,0,274086,968821,430,18643,0,0,0,0,3300,0,0,970,0,1061,0,0,0,0,15542,0,168312,0,0,20276,0,1505313,0,166,0,10964094,404,0,0
