"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139292,0,0,0,0,0,151142,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801048,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,16848,0,0,221490,0,0,0,203768,367489,0,0,0,44702,0,0,0,0,0,0,0,0,0,0,10389,0,0,0,533869,0,240672,0,0,0,0,0,0,0,0,547283,0,0,0,0,149656,0,0,0,62355,0,68998,668211,0,0,0,107045,0,0,0,0,0,0,0,0,0,0,0,290289,0,248745,0,0,0,311048,0,0,34705,0,0,0,0,0,0,0,0,197913,0,0,0,0,0,0,0,0,0,0,0,0,23211,0,55409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9213,0,0,232622,0,0,1733698,49541,0,0,0,0,0,0,111224,0,0,0,0,0,0,0,0,0,0,0,1206382,0,0,2766080,0,651779,0,0,251756,11416391,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167081,0,0,0,0,0,276931,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,0,0,0,0,60502,698682,0,0,0,0,0,0,30835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12539075,171363,0,0,0,0,30622,0,0,0,0,1695,0,0,7330,0,0,0,0,48087,56417,0,0,3770996,29378,0,0,0,0,0,16316,0,0,0,80607,52004,0,0,3859,408003,0,2086909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96415,0,0,0,0,0,0,0,0,35575,0,0,0,0,180147,0,0,0,0,0,16923,12,0,0,0,0,0,0,0,0,44711,48887,0,55766,0,0,43933,0,0,44609,1771557,88372,29356,0,0,0,0,23436,0,0,7128,0,57503,0,0,0,825,59755,0,29834,0,35561,118025,0,372055,0,0,25874,24090360,0,0,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,28465,0,0,0,0,0,0,0,0,0,0,0,0,0,755014,0,0,0,0,0,0,0,0,0,179219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54106,0,5982,0,0,0,0,0,0,0,0,129032,0,0,0,0,28513,0,32541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215770,0,0,0,0,0,0,0,0,0,0,0,307933,0,0,0,0,0,0,0,5279586,0,0,49347,0,0,0,0,0,0,0,0,0,25565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7191814,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85762,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,64402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21371,0,0,0,0,0,0,0,258059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186388,0,195,0,0,0,691578,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,45537,0,0,0,24985,0,0,0,75901,0,0,0,0,0,0,0,0,0,0,0,50157,0,0,0,6989103,0,0,0,0,0,0,0,0,0,139598,36806,0,0,42754,0,0,0,0,25199,2594098,29846,100625,1144274,0,0,0,0,0,0,991,0,0,0,63444,0,0,0,0,5421209,0,148606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308599,0,0,0,0,0,0,0,0,0,8355,0,0,0,0,0,0,0,0,21006,0,0,0,0,0,0,2742,0,0,0,38737,31305,0,17341,0,0,96916,0,173255,2069401,138534,7305747,0,0,0,0,0,132952,0,0,211326,0,1852794,0,0,0,0,0,0,17931,0,454665,28709,0,774471,0,0,6948,33229973,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,311505,39532,0,0,0,0,0,0,1385446,0,0,0,0,0,2773024,0,0,0,0,0,1784696,0,0,1096,4878469,0,0,0,41962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6632,1822473,0,0,5105660,0,0,0,0,0,0,143315,14390,0,0,110184,0,0,0,427,638238,0,3065643,0,0,0,36212,0,0,0,0,0,0,0,0,0,0,0,197113,0,0,0,0,53411,0,0,0,0,0,8280,0,0,15860,0,0,0,0,70,0,44775,0,0,0,0,1598,4508,0,0,560415,100181,0,0,0,0,278305,8140,0,144098,307137,302652,6927,0,0,0,0,10215993,0,0,0,0,213034,0,0,0,0,0,0,32118,0,912,4451521,0,4420888,0,0,4408,43639985,0,0,0
