"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,1540482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,3324935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,1,0,0,0,0,0,0,0,0,0,0,96260,0,0,0,0,0,0,0,0,0,218729,0,0,0,0,0,0,0,0,0,0,0,0,138635,0,0,0,0,0,0,0,0,0,151002,0,0,2554821,0,0,0,0,0,0,27967,1639672,0,0,0,0,10777,0,0,77807,0,0,0,5627,0,0,31892,0,0,0,684330,0,193351,0,0,0,0,0,0,0,1635,0,0,0,0,0,0,0,0,1369586,10,0,10690,0,48,0,0,1572,12085473,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8570817,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3069,0,103,0,0,0,0,0,0,10541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107458,0,0,0,0,0,0,0,0,0,0,0,0,406502,0,0,0,0,0,0,16586,0,0,0,0,0,4268607,0,0,0,0,0,0,0,0,0,6691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13560043,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,0,0,0,0,0,0,0,0,303505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303505,0,0,0
28233,"Remelting scrap ingots of iron or steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,36464,0,17783,0,12913,0,0,0,12804,264720,0,0,7681,0,0,0,0,2888,15936,0,976,0,0,0,331,0,0,9802,413974,31271,4076,11804,0,0,889,45409,0,0,0,0,0,0,128714,0,0,0,45264,0,16123,0,0,135236,69733,48556,0,0,0,0,39719,0,0,0,60979,36294,72371,0,11745,5236,2428,1,2596,0,271292,187917,4663,0,13212,30454,0,0,8927,0,0,0,2392,51927,0,0,0,778,63164,0,0,0,4,230,0,0,229491,304337,12708,0,0,36908,1288,29644,539111,392,0,1056,0,380051,0,0,0,27640,31538,0,1917947,251,0,119629,0,0,35093,137039,28320,47443,0,47,0,0,0,164086,0,75943,0,26883,0,4799,9734,0,127344,0,1874529,15568,581,95103,0,1500686,4284,0,79788,10161914,5187,226,436
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,21628,19932025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455776,0,0,0,0,0,0,0,0,0,108860,310149,0,0,0,0,0,0,0,0,0,0,0,993411,0,0,0,0,7756,0,0,0,0,0,0,0,651657,0,0,0,0,0,0,0,4063068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14631,0,168431,0,0,0,0,0,0,0,0,0,15908758,0,0,0,0,0,0,1406,0,0,0,0,1996,0,0,688838,52584853,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,4311298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4436912,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,0,0,0,0,18755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21245732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237567,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,21,0,0,0,0,0,0,0,0,775377,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7047,0,0,0,29038252,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,47,0,0,0,0,17465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2379,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,6327,0,0,0,0,0,0,51949,0,0,0,0,0,14461,0,0,0,1260,0,0,0,0,0,0,0,0,28648,0,300,0,0,8686,0,8439,0,0,0,0,0,0,0,0,2254,0,0,0,3889,0,0,0,0,0,3397,76,0,3045,0,0,0,0,2851,0,0,0,0,178290,0,0,0,0,0,0,31518,0,0,0,0,193146,0,0,0,675639,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,13605,242,0,0,0,76230,0,0,2126,0,0,0,0,0,131282,0,0,0,0,0,22,0,0,20382,137332,5760,0,0,0,0,0,0,0,0,0,9545,0,0,452523,0,0,0,0,0,0,0,0,544526,0,0,0,0,0,0,0,0,0,0,141965,1727688,0,0,0,2737,0,3886775,456,0,138,0,0,0,0,27,0,0,3485,0,0,1079,0,369537,0,0,0,0,593860,0,0,0,23,0,0,0,2496,181,562,0,0,0,0,4849,8659,0,0,0,21961,80371,10,0,8263,0,0,0,108637,0,0,0,0,0,305711,190900,31037,23876,0,0,0,0,25410,327,0,9543,0,29285,0,0,0,0,189584,0,461422,0,0,485,0,1519555,0,0,5898,11561925,0,0,0
