"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,81596,0,0,0,0,0,501829,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,586281,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,219430,0,0,16438,0,0,0,407921,384575,0,0,39517,65261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49775,0,0,0,0,0,0,0,0,87644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84739,0,0,0,0,0,0,0,0,0,0,0,0,301985,0,0,0,0,0,0,121889,0,145957,0,0,1272841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163078,0,0,0,0,734645,0,0,110043,0,1090840,0,0,0,5641886,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39383,0,0,0,0,38883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190134,0,0,0,0,139232,0,0,0,0,0,0,0,0,0,0,74334,0,0,0,0,0,0,0,0,0,0,0,63583,0,0,325229,0,0,0,0,0,3891046,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,0,0,0,0,0,1239732,0,0,0,5349,0,0,11113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15812888,101201,0,0,0,0,0,0,0,31,0,1176,0,0,0,0,0,0,0,0,51992,0,0,5863215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607063,0,704383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,9995,0,0,0,0,0,0,0,57665,0,0,11112,0,0,1341,0,0,0,0,0,28789,1577128,45355,0,0,0,0,0,240,1591,0,0,0,0,0,0,0,0,0,0,3842,0,24440,46584,0,650851,0,0,14124,27289883,0,0,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15987,0,0,0,0,0,0,0,0,0,0,0,986074,0,0,0,0,0,0,0,9854062,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12284481,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110729,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10540109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280839,0,0,0,0,362691,0,0,0,11610499,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,1686,0,0,0,0,0,0,159239,0,0,0,0,0,85506,0,0,0,2839777,0,0,0,0,0,0,0,0,0,0,0,0,0,24812,0,0,0,0,0,3676392,0,0,1904592,0,0,0,0,0,0,0,0,0,0,0,18324,0,0,0,7255108,0,239506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268503,0,0,0,0,0,0,0,0,0,0,0,0,0,11749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15456,0,0,0,0,0,0,0,0,1516375,325677,10524086,0,0,0,0,0,245648,0,0,0,0,1857790,0,0,0,0,239396,0,37878,0,446979,441601,0,865640,0,0,0,35217342,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,393953,0,0,0,0,0,0,0,555225,0,0,0,0,0,297433,0,0,0,0,0,2796665,0,0,0,4383405,0,0,27942,0,0,0,0,0,0,14910,0,0,0,206700,0,0,0,0,0,650161,0,0,4040238,0,0,0,0,0,0,146142,0,0,0,0,0,0,6496,0,451584,0,3366233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65128,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,3079693,32165,0,0,0,0,84926,0,0,6189,0,163574,0,0,0,0,0,6968740,0,0,0,0,32898,0,0,0,0,439,0,0,0,0,4249103,0,5161263,0,0,0,37199350,0,0,0
67133,"Ferrous products obtained by direct reduction of iron ore & other spongy ferrous products, in lumps, pellets/similar forms; iron having a minimum purity of 99.94%, in lumps, pellets/similar forms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195855,0,0,0,48603,0,61507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31438267,0,0,0,0,0,0,0,0,0,0,0,0,13023,0,0,0,0,0,0,135024412,117836,0,0,0,0,0,0,0,0,0,29551147,0,4953740,0,0,0,0,0,0,0,0,0,0,0,0,0,203850,0,0,0,0,0,0,0,0,0,0,0,40526427,0,0,0,0,178616,0,0,0,242313283,0,0,0
67241,"Ingots of iron (other than iron of heading 671.33)/non-alloy steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114665,63042,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,86544,0,124657,0,0,0,2151586,0,0,0
67245,"Other primary forms of iron (other than iron of heading 671.33)/non-alloy steel.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75820,0,99553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35780,136779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77258,0,0,18402,0,283718,0,0,0,771995,0,0,0
67611,"Bars & rods, hot-rolled, in irregularly wound coils, of iron or steel, of iron/non-alloy steel, containing indentations, ribs, grooves/other deformations produced during the rolling process",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570582,0,0,0,516845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5644021,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,95207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358135,0,0,0,0,0,0,0,0,0,0,0,0,0,5017254,0,0,0,0,0,443733,202732,0,47624,0,0,0,13909144,0,0,0
67619,"Bars & rods, hot-rolled, in irregularly wound coils, of iron/steel, of iron/other alloy & non-alloy steel, n.e.s.",0,0,0,0,0,0,0,54264,0,0,0,15453,0,0,1141114,0,0,0,0,0,0,0,0,0,0,0,3944290,0,0,0,92434989,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,4591249,0,0,6618859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357958,0,14883313,0,0,0,0,0,0,0,0,0,0,68687,0,0,0,122509,0,0,0,0,0,0,0,0,0,0,0,0,0,70405,0,0,0,107029,0,0,0,0,0,0,0,5167,0,0,0,0,143104,0,0,0,0,85500,0,172144,8441,26106771,738484,0,0,0,0,0,173884,196084,0,0,0,6475320,0,0,214276,0,0,0,165671,0,6215079,4310985,0,1686629,0,0,0,172551771,0,0,0
67621,"Bars & rods of iron/non-alloy steel, not further worked than hot-rolled, hot-drawn/hot-extruded, but including those twisted after rolling, of iron/non-alloy steel, containing indentations, ribs, grooves/other deformations produced during the rolling process/twisted after rolling",0,0,0,0,0,0,0,0,0,0,0,59734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79471,0,0,0,18451,0,0,0,0,0,0,3481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,35748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640477,0,11167042,22685,0,0,0,0,0,12036546,0,0,0
67629,"Bars & rods of iron/non-alloy steel, not further worked than hot-rolled, hot-drawn/hot-extruded, but including those twisted after rolling, of iron/other alloy & non-alloy steel, n.e.s.",0,0,0,0,0,0,65717,5433726,0,0,0,0,0,0,295340,0,0,0,0,0,316624,0,0,0,0,0,1567572,0,0,0,54311349,0,0,0,0,0,0,0,0,0,9625,12626,0,0,0,0,0,0,0,1429,2175374,0,0,4381002,0,0,0,0,0,0,0,0,0,0,61,0,0,1666575,105659,682928,0,49989912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17472,0,0,0,0,0,0,0,0,0,0,0,0,0,92924,0,0,0,0,54,0,0,0,0,0,0,0,3767,0,0,0,11463,0,0,0,0,3566780,0,2069721,0,9192953,38033,48861,0,0,0,0,3120438,44781,0,0,0,4040379,0,0,0,0,193673,0,211743,0,4333419,2567726,0,2642918,0,0,0,156471032,0,0,0
67633,"Bars & rods of iron/steel, not further worked than cold-formed/cold-finished, other, of iron/non-alloy steel",0,0,0,0,0,0,0,16550,0,0,0,0,0,0,993038,0,0,0,0,0,0,0,0,0,0,0,3786,0,0,0,88263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419405,0,0,2049840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316980,0,160050,0,0,0,12249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169406,0,0,0,49066,0,0,0,0,0,0,0,0,823,0,0,434728,0,0,0,0,0,0,0,0,0,2830627,77935,0,0,0,0,0,0,23937,0,0,0,0,0,0,0,0,0,0,311331,0,0,867964,0,82939,0,0,0,9960542,0,0,0
