"country.code","country.name"
4,"Afghanistan"
8,"Albania"
12,"Algeria"
24,"Angola"
32,"Argentina"
51,"Armenia"
36,"Australia"
40,"Austria"
31,"Azerbaijan"
44,"Bahamas"
48,"Bahrain"
50,"Bangladesh"
52,"Barbados"
112,"Belarus"
56,"Belgium"
204,"Benin"
60,"Bermuda"
68,"Bolivia (Plurinational State of)"
70,"Bosnia Herzegovina"
72,"Botswana"
76,"Brazil"
96,"Brunei Darussalam"
100,"Bulgaria"
116,"Cambodia"
120,"Cameroon"
124,"Canada"
136,"Cayman Isds"
148,"Chad"
152,"Chile"
156,"China"
344,"China, Hong Kong SAR"
446,"China, Macao SAR"
170,"Colombia"
178,"Congo"
188,"Costa Rica"
384,"Côte d'Ivoire"
191,"Croatia"
192,"Cuba"
196,"Cyprus"
203,"Czechia"
180,"Dem. Rep. of the Congo"
208,"Denmark"
214,"Dominican Rep."
218,"Ecuador"
818,"Egypt"
222,"El Salvador"
226,"Equatorial Guinea"
233,"Estonia"
231,"Ethiopia"
246,"Finland"
251,"France"
266,"Gabon"
268,"Georgia"
276,"Germany"
288,"Ghana"
300,"Greece"
320,"Guatemala"
324,"Guinea"
332,"Haiti"
340,"Honduras"
348,"Hungary"
352,"Iceland"
699,"India"
360,"Indonesia"
364,"Iran"
368,"Iraq"
372,"Ireland"
376,"Israel"
381,"Italy"
388,"Jamaica"
392,"Japan"
400,"Jordan"
398,"Kazakhstan"
404,"Kenya"
414,"Kuwait"
417,"Kyrgyzstan"
418,"Lao People's Dem. Rep."
428,"Latvia"
422,"Lebanon"
434,"Libya"
440,"Lithuania"
442,"Luxembourg"
450,"Madagascar"
454,"Malawi"
458,"Malaysia"
466,"Mali"
470,"Malta"
478,"Mauritania"
480,"Mauritius"
484,"Mexico"
496,"Mongolia"
499,"Montenegro"
504,"Morocco"
508,"Mozambique"
104,"Myanmar"
516,"Namibia"
524,"Nepal"
528,"Netherlands"
554,"New Zealand"
558,"Nicaragua"
562,"Niger"
566,"Nigeria"
579,"Norway"
512,"Oman"
586,"Pakistan"
591,"Panama"
598,"Papua New Guinea"
600,"Paraguay"
604,"Peru"
608,"Philippines"
616,"Poland"
620,"Portugal"
634,"Qatar"
410,"Rep. of Korea"
498,"Rep. of Moldova"
642,"Romania"
643,"Russian Federation"
646,"Rwanda"
682,"Saudi Arabia"
686,"Senegal"
688,"Serbia"
702,"Singapore"
703,"Slovakia"
705,"Slovenia"
710,"South Africa"
724,"Spain"
144,"Sri Lanka"
275,"State of Palestine"
729,"Sudan"
740,"Suriname"
748,"Swaziland"
752,"Sweden"
757,"Switzerland"
762,"Tajikistan"
807,"TFYR of Macedonia"
764,"Thailand"
626,"Timor-Leste"
768,"Togo"
780,"Trinidad and Tobago"
788,"Tunisia"
792,"Turkey"
795,"Turkmenistan"
800,"Uganda"
804,"Ukraine"
784,"United Arab Emirates"
826,"United Kingdom"
834,"United Rep. of Tanzania"
858,"Uruguay"
842,"USA"
860,"Uzbekistan"
862,"Venezuela"
704,"Viet Nam"
0,"World"
887,"Yemen"
894,"Zambia"
716,"Zimbabwe"
